Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\wulpus\hw\wulpus_acquisition_pcb\Project Outputs for wulpus_acq_pcb\Pick Place\Pick Place for PCB1(Fabrication_ready).txt

========================================================================================================================
File Design Information:

Date:       17.01.25
Time:       17:41
Revision:   5cd4fb9cbb34e9d9febb728bbc69f99c0eff6a20
Variant:    Fabrication_ready
Units used: mm

Designator Comment                     Layer       Footprint                                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                    
R39        CR0402-J/-000GLF            BottomLayer FP-CR0402-IPC_B                                            6.3000       7.0905       270      "Thick Film Chip Resistors 0402 0O 0.0625W 5%"                                                                                                                 
L13        LQW15AN3N3G80D              BottomLayer FP-LQW15AN_80-MFG                                          6.8000       5.0000       180      "Wire Wound RF Inductor 3.3nH ±2% 2000mA 0.03O 0402 (1005)"                                                                                                    
L12        LQW18AN4N3G80D              BottomLayer FP-LQW18AN_80-MFG                                          6.3000       3.0357       270      "Wire Wound RF Inductor 4.3nH ±2% 2100mA 0.036O 0603 (1608)"                                                                                                   
R2         CR0402-JW-105GLF            TopLayer    FP-CR0402-MFG                                              20.0000      23.3000      180      "Thick Film Chip Resistors 0402 1MO 0.0625W 5% 200ppm/°C"                                                                                                      
J5         DF52-6S-0.8H(21)            BottomLayer HIROSE_DF52-6S-0.8H(21)                                    36.3750      21.4350      0        "6 Position Socket Connector Surface Mount, Right Angle"                                                                                                       
U5         MSP430FR5043IRGCT           BottomLayer RGC0064G                                                   32.6400      13.0400      90       "No Description Available"                                                                                                                                     
C30        C2012X5R1A336M125AC         BottomLayer FP-C2012-125-0_2-IPC_A                                     41.1500      12.6250      0        "Multilayer Ceramic Capacitors 33µF ±20% 10V X5R SMD 0805"                                                                                                     
R8         ERJ-2BWFR100X               TopLayer    FP-CSR0402-MFG                                             26.8250      17.8500      0        "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
J2         DF52-2S-0.8H(21)            BottomLayer DF522S08H21                                                2.2550       18.7000      90       Connector                                                                                                                                                      
U6         XC8102AA01MR-G              TopLayer    XC8102_SOT-25_TOR                                          33.3511      8.1750       0        "No Description Available"                                                                                                                                     
FB3        BLM03AX800SN1D              TopLayer    MURA-BLM03-CHIP-2_V                                        35.5250      8.8750       270      "Chip Ferrite Bead for Power lines and Signal Lines, 80 Ohm, 500 mA, -55 to 125 degC, 0.6 x 0.3 x 0.33 mm SMD, Tape and Reel"                                  
C40        C1608X7R1C105K080AC         TopLayer    FP-C1608-080-0_1-IPC_B                                     36.4500      8.1845       90       "Multilayer Ceramic Capacitors 1µF ±10% 16V X7R SMD 0603"                                                                                                      
C39        C1608X5R1A106K080AC         TopLayer    CAPC0603(1608)100_L                                        30.2500      8.9750       0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                                       
SW1        5051100692                  BottomLayer MOLEX_5051100692                                           19.1250      4.3000       0        ""                                                                                                                                                             
